Table 33: Expected Change in Prices During the Next 5 Years
Month,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
5,2005,2,2,33,26,16,4,6,0,10,1,3.5,7,2.7,1.7,2.9,4.8,3,
6,2005,4,2,34,28,17,4,3,1,6,1,3.1,7,2.7,1.6,2.8,4.6,3.1,
7,2005,2,2,30,30,15,3,5,0,12,1,3.3,7,2.6,1.5,2.9,4.6,3.1,
8,2005,4,3,32,27,12,3,5,2,10,2,3.3,10,3.2,1.5,2.8,4.6,3.1,
9,2005,3,3,25,31,12,4,8,2,10,2,3.8,11,3.3,1.8,3.1,4.9,3,
10,2005,4,3,23,27,15,5,8,2,11,2,3.8,11,3.4,1.9,3.2,5.1,3.2,
11,2005,5,2,27,33,16,3,4,1,8,1,3.3,9,3.1,1.6,3,4.6,2.9,
12,2005,4,3,27,30,19,3,5,2,6,1,3.5,10,3.1,1.7,3.1,4.8,3.1,
1,2006,5,3,27,30,14,2,8,1,9,1,3.4,13,3.5,1.6,2.9,4.7,3.1,
2,2006,3,1,31,32,14,3,4,1,8,3,3.3,8,2.8,1.5,2.9,4.5,2.9,
3,2006,2,2,30,29,15,4,4,1,11,2,3.3,9,2.9,1.7,2.9,4.7,3,
4,2006,5,2,23,29,17,3,6,1,12,2,3.6,11,3.3,1.8,3.1,4.9,3.1,
5,2006,3,3,26,25,19,6,6,2,9,1,3.8,11,3.4,1.9,3.2,5.1,3.2,
6,2006,3,4,30,29,14,5,7,1,6,1,3.4,10,3.2,1.6,2.9,4.8,3.1,
7,2006,2,5,29,30,16,3,3,1,9,2,3.2,6,2.5,1.5,2.9,4.6,3.1,
8,2006,3,3,25,30,18,2,6,1,11,1,3.5,9,3.1,1.8,3.2,4.8,3,
9,2006,4,2,26,34,16,4,4,0,9,1,3.2,6,2.5,1.8,3,4.6,2.9,
10,2006,3,2,27,32,17,3,6,1,7,2,3.5,9,2.9,1.9,3.1,4.8,2.9,
11,2006,2,4,26,31,17,4,5,1,8,2,3.5,7,2.7,1.7,3,4.8,3.1,
12,2006,4,3,27,31,15,2,7,1,8,2,3.4,10,3.1,1.7,3,4.7,3,
1,2007,2,2,26,36,12,4,8,0,9,1,3.5,8,2.9,1.8,3,4.6,2.8,
2,2007,2,2,30,33,12,4,5,0,10,2,3.3,6,2.5,1.8,2.9,4.3,2.5,
3,2007,3,2,31,33,13,3,5,1,8,1,3.3,7,2.7,1.7,2.9,4.4,2.7,
4,2007,3,2,28,32,15,3,6,1,9,1,3.6,9,2.9,1.9,3.1,4.7,2.8,
5,2007,3,2,24,31,16,5,6,1,10,2,3.7,10,3.1,2,3.1,4.9,2.9,
6,2007,4,2,29,29,13,4,5,1,12,1,3.3,9,2.9,1.7,2.9,4.6,2.9,
7,2007,3,1,25,32,15,4,5,2,11,2,3.6,10,3.1,1.8,3.1,4.8,3,
8,2007,2,2,27,33,12,5,3,1,13,2,3.4,7,2.6,1.9,2.9,4.5,2.6,
9,2007,3,4,28,30,14,3,5,1,11,1,3.4,8,2.9,1.6,2.9,4.6,3,
10,2007,3,3,30,32,13,1,5,1,10,2,3.1,6,2.5,1.7,2.8,4.1,2.4,
11,2007,4,3,27,30,12,3,8,1,11,1,3.4,11,3.3,1.7,2.9,4.6,3,
12,2007,3,4,26,28,16,5,6,1,10,1,3.5,8,2.9,1.6,3.1,4.8,3.2,
1,2008,3,2,28,28,17,3,5,1,11,2,3.4,8,2.8,1.8,3,4.7,2.9,
2,2008,5,3,26,27,15,4,6,1,11,2,3.4,10,3.1,1.6,3,4.8,3.2,
3,2008,6,4,27,29,13,4,6,1,9,1,3.2,10,3.2,1.6,2.9,4.6,3,
4,2008,9,4,18,26,16,5,7,1,12,2,3.5,12,3.5,1.7,3.2,5,3.3,
5,2008,6,5,15,27,18,6,9,1,11,2,4,14,3.7,2.2,3.4,5.2,3,
6,2008,8,3,17,26,15,6,10,2,11,2,4,16,4,1.8,3.4,5.3,3.4,
7,2008,9,5,16,26,17,4,9,1,11,2,3.5,14,3.8,1.4,3.2,5.1,3.7,
8,2008,5,5,19,27,14,5,9,2,12,2,3.9,12,3.5,1.9,3.2,5.1,3.2,
9,2008,7,5,22,28,15,4,7,1,9,2,3.3,11,3.4,1.6,3,4.8,3.2,
10,2008,8,6,20,27,15,4,7,0,10,3,3.1,11,3.3,1.4,2.9,4.8,3.4,
11,2008,9,7,24,21,17,5,6,2,8,1,3.1,14,3.7,1.3,2.9,4.9,3.6,
12,2008,9,9,25,28,12,2,5,1,7,2,2.6,12,3.5,1.1,2.6,4,2.9,
1,2009,6,7,25,26,12,3,6,2,10,3,3.4,14,3.8,1.4,2.9,4.7,3.4,
2,2009,8,5,19,26,18,5,6,2,8,3,3.5,17,4.1,1.7,3.1,5,3.3,
3,2009,9,7,26,24,11,3,6,1,10,3,2.9,12,3.5,1.1,2.6,4.5,3.4,
4,2009,7,6,27,25,15,4,6,1,7,2,3.1,13,3.5,1.3,2.8,4.7,3.4,
5,2009,7,6,24,27,15,4,4,1,9,3,3.1,11,3.3,1.4,2.9,4.7,3.3,
6,2009,6,5,25,28,15,5,6,1,8,1,3.2,10,3.2,1.6,3,4.8,3.2,
7,2009,8,3,25,23,15,3,7,2,13,1,3.4,14,3.7,1.6,3,4.9,3.3,
8,2009,6,6,27,27,13,5,6,1,7,2,3.1,11,3.3,1.5,2.8,4.6,3.2,
9,2009,6,5,28,27,13,3,6,2,8,2,3.2,13,3.6,1.6,2.8,4.7,3.1,
10,2009,4,6,28,29,14,5,6,1,5,2,3.2,10,3.2,1.4,2.9,4.7,3.3,
11,2009,4,3,28,28,18,5,5,0,7,2,3.2,8,2.9,1.6,3,4.8,3.2,
12,2009,6,4,31,26,15,2,5,1,8,2,3,11,3.3,1.4,2.7,4.6,3.1,
1,2010,4,5,25,30,12,4,6,1,10,3,3.3,11,3.3,1.5,2.9,4.6,3.1,
2,2010,5,4,32,23,14,3,7,2,8,2,3.3,14,3.7,1.3,2.7,4.7,3.4,
3,2010,4,4,34,25,13,2,7,1,8,2,3.1,9,3.1,1.4,2.7,4.5,3.1,
4,2010,2,3,34,29,12,3,5,1,8,3,3.2,8,2.9,1.4,2.7,4.4,2.9,
5,2010,3,5,28,30,15,3,7,1,7,1,3.4,9,3,1.7,2.9,4.7,3,
6,2010,4,4,30,30,16,3,5,0,7,1,3.1,7,2.7,1.5,2.8,4.6,3,
7,2010,3,4,29,26,15,3,8,1,9,2,3.4,10,3.1,1.5,2.9,4.9,3.5,
8,2010,4,4,31,29,14,3,6,0,7,2,3.1,8,2.8,1.6,2.8,4.5,2.9,
9,2010,3,5,32,28,13,3,4,1,10,1,3.1,7,2.7,1.5,2.7,4.4,2.9,
10,2010,6,5,27,31,12,4,6,1,7,1,3,10,3.1,1.3,2.8,4.4,3.1,
11,2010,3,4,32,27,16,2,4,1,11,0,3.2,8,2.8,1.6,2.8,4.6,3,
12,2010,4,2,32,28,15,3,6,1,8,1,3.3,10,3.1,1.7,2.8,4.7,3,
1,2011,4,3,28,29,14,3,6,1,9,3,3.3,9,3,1.8,2.9,4.6,2.8,
2,2011,6,2,29,26,15,3,6,1,10,2,3.2,9,3,1.6,2.9,4.7,3.1,
3,2011,5,2,22,28,17,6,7,1,9,3,3.6,11,3.2,1.8,3.2,5,3.3,
4,2011,7,3,26,28,14,4,6,1,8,3,3.3,11,3.3,1.6,2.9,4.7,3.2,
5,2011,5,4,28,26,14,4,6,1,9,3,3.3,10,3.1,1.6,2.9,4.8,3.2,
6,2011,5,3,28,24,17,5,7,1,8,2,3.6,11,3.3,1.6,3,5,3.4,
7,2011,3,5,27,29,15,3,5,1,10,2,3.3,8,2.8,1.7,2.9,4.7,2.9,
8,2011,6,4,26,27,14,4,6,1,10,2,3.3,12,3.4,1.6,2.9,4.8,3.2,
9,2011,5,4,31,27,15,2,8,0,6,2,3.2,10,3.1,1.5,2.8,4.7,3.1,
10,2011,8,4,31,30,12,3,4,1,5,2,2.8,9,3,1.3,2.7,4.1,2.8,
11,2011,3,3,37,28,13,4,4,0,6,2,3,7,2.6,1.6,2.7,4.2,2.6,
12,2011,4,3,33,29,9,3,7,1,9,2,3.2,9,2.9,1.6,2.7,4.1,2.6,
1,2012,3,4,34,28,12,5,5,0,7,2,3.1,7,2.6,1.5,2.7,4.3,2.8,
2,2012,5,5,26,27,17,2,5,0,11,2,3.2,8,2.8,1.6,2.9,4.8,3.2,
3,2012,3,3,27,29,17,4,6,1,8,2,3.5,9,3,1.7,3,4.8,3.1,
4,2012,6,4,26,30,12,4,8,1,6,3,3.4,12,3.4,1.5,2.9,4.7,3.2,
5,2012,5,4,32,26,14,3,5,0,8,3,3,8,2.8,1.3,2.7,4.5,3.2,
6,2012,5,4,30,29,14,3,7,0,7,1,3.2,8,2.8,1.5,2.8,4.6,3.2,
7,2012,6,4,31,24,12,3,7,0,10,3,3.1,9,3,1.3,2.7,4.5,3.2,
8,2012,5,3,26,26,16,4,4,1,13,2,3.2,8,2.9,1.6,3,4.7,3.2,
9,2012,7,2,28,31,11,3,4,1,10,3,3,11,3.4,1.6,2.8,4.2,2.6,
10,2012,6,4,31,26,11,2,6,2,10,2,3.1,13,3.6,1.2,2.7,4.4,3.2,
11,2012,7,2,29,27,12,4,6,2,9,2,3.2,12,3.5,1.6,2.8,4.6,3,
12,2012,3,3,30,29,14,4,5,1,9,2,3.2,8,2.8,1.5,2.9,4.6,3.1,
1,2013,3,4,29,28,13,5,7,1,8,2,3.5,11,3.3,1.6,2.9,4.8,3.2,
2,2013,3,3,29,25,14,4,7,2,11,2,3.7,12,3.5,1.6,3,4.9,3.3,
3,2013,3,3,32,27,14,3,6,1,9,2,3.4,10,3.1,1.5,2.8,4.6,3.2,
4,2013,2,3,32,25,17,4,5,2,8,2,3.5,10,3.2,1.5,2.9,4.8,3.3,
5,2013,3,4,31,28,11,3,7,3,9,1,3.6,14,3.7,1.6,2.9,4.7,3.1,
6,2013,2,2,33,25,15,5,6,1,10,1,3.5,9,3,1.5,2.9,4.8,3.3,
7,2013,1,2,35,33,12,2,7,0,7,1,3.3,7,2.6,1.6,2.8,4.2,2.6,
8,2013,2,3,32,29,14,4,5,2,7,2,3.5,12,3.5,1.4,2.9,4.7,3.3,
9,2013,3,1,30,29,14,6,6,2,8,1,3.6,10,3.1,1.7,3,4.9,3.2,
10,2013,3,4,34,27,13,4,7,1,6,1,3.3,10,3.2,1.4,2.8,4.7,3.2,
11,2013,4,2,30,30,13,3,6,2,7,3,3.5,11,3.3,1.5,2.9,4.6,3.1,
12,2013,4,2,35,29,11,4,5,2,6,2,3.3,10,3.2,1.5,2.7,4.3,2.8,
1,2014,2,2,33,34,12,3,5,2,6,1,3.4,9,3,1.6,2.9,4.4,2.8,
2,2014,2,2,32,28,14,5,5,2,8,2,3.6,10,3.2,1.6,2.9,4.8,3.2,
3,2014,2,2,32,32,11,3,5,1,10,2,3.4,9,3.1,1.7,2.9,4.3,2.6,
4,2014,1,2,33,27,14,5,7,1,7,3,3.6,8,2.9,1.6,2.9,4.8,3.2,
5,2014,2,2,34,28,12,6,5,2,7,2,3.5,9,3.1,1.6,2.8,4.6,3,
6,2014,3,1,30,33,11,4,6,2,8,2,3.4,9,3,1.7,2.9,4.5,2.8,
7,2014,2,2,35,27,12,5,4,0,10,3,3.2,8,2.8,1.6,2.7,4.5,2.9,
8,2014,4,3,29,35,9,5,6,1,7,1,3.3,9,3,1.5,2.9,4.2,2.7,
9,2014,2,1,36,27,14,5,5,1,7,2,3.4,8,2.8,1.5,2.8,4.7,3.2,
10,2014,3,3,33,34,12,5,3,1,5,1,3.2,7,2.7,1.7,2.8,4.2,2.5,
11,2014,3,3,36,29,12,4,3,1,8,1,2.9,7,2.7,1.4,2.6,3.9,2.5,
12,2014,2,2,34,32,12,4,3,1,9,1,3.2,7,2.6,1.6,2.8,4.2,2.6,
1,2015,3,2,34,34,11,3,4,1,7,1,3.2,7,2.7,1.6,2.8,4,2.4,
2,2015,4,2,36,27,13,3,4,1,9,1,3.1,8,2.8,1.5,2.7,4.3,2.8,
3,2015,2,1,34,33,13,4,3,1,8,1,3.2,7,2.6,1.7,2.8,4.2,2.5,
4,2015,2,1,39,29,13,2,5,0,8,1,3,6,2.5,1.5,2.6,3.9,2.4,
5,2015,4,1,34,29,12,7,5,1,6,1,3.2,9,3,1.3,2.8,4.6,3.2,
6,2015,2,1,39,29,10,3,5,1,8,2,3.2,8,2.8,1.5,2.6,3.9,2.4,
7,2015,2,2,34,30,11,4,5,1,10,1,3.3,8,2.8,1.6,2.8,4.3,2.7,
8,2015,4,2,36,30,12,3,4,1,7,1,3.1,8,2.9,1.5,2.7,4.1,2.6,
9,2015,3,2,35,30,14,2,4,1,8,1,3,7,2.6,1.4,2.7,4.1,2.7,
10,2015,3,3,40,29,10,4,3,2,5,1,3,9,3,1.2,2.5,3.8,2.6,
11,2015,2,3,38,29,11,2,4,1,9,1,2.9,6,2.5,1.5,2.6,3.5,2.1,
12,2015,3,1,40,27,12,4,4,1,7,1,3,7,2.6,1.4,2.6,4.1,2.7,
1,2016,3,3,35,27,11,4,5,1,10,1,3.2,8,2.9,1.5,2.7,4.3,2.9,
2,2016,4,3,39,27,11,4,4,1,5,2,2.9,8,2.9,1.3,2.5,3.9,2.6,
3,2016,2,2,37,29,12,2,4,1,9,2,3.1,8,2.8,1.3,2.7,4.1,2.7,
4,2016,4,2,42,27,10,3,4,1,6,1,2.9,8,2.7,1.3,2.5,3.6,2.4,
5,2016,2,1,43,29,12,2,3,1,6,1,2.8,5,2.3,1.3,2.5,3.5,2.3,
6,2016,4,1,39,30,11,3,3,0,7,2,2.7,6,2.4,1.3,2.6,3.5,2.2,
7,2016,2,4,39,28,10,4,3,2,7,1,3,8,2.8,1.4,2.6,4,2.6,
8,2016,3,3,40,29,11,3,3,1,6,1,2.9,7,2.6,1.4,2.5,3.6,2.2,
9,2016,3,3,39,28,11,3,4,1,6,2,2.9,7,2.7,1.3,2.6,3.5,2.2,
10,2016,3,3,41,26,11,3,4,1,6,2,2.8,7,2.7,1.2,2.4,3.8,2.6,
11,2016,4,2,39,29,12,3,4,1,5,1,2.9,8,2.9,1.4,2.6,3.8,2.4,
12,2016,5,4,40,26,10,4,3,1,6,1,2.6,8,2.9,1.1,2.3,3.5,2.4,
1,2017,5,4,36,28,14,2,3,0,7,1,2.7,7,2.7,1.2,2.6,3.7,2.5,
2,2017,6,3,37,30,10,2,4,0,8,0,2.6,8,2.8,1.3,2.5,3.5,2.2,
3,2017,5,4,37,26,8,4,4,0,10,2,2.7,9,2.9,1.2,2.4,3.5,2.3,
4,2017,5,2,42,26,9,5,2,0,7,2,2.7,7,2.6,1.2,2.4,3.4,2.2,
5,2017,3,3,41,25,12,3,2,1,8,2,2.8,7,2.6,1.3,2.4,3.5,2.2,
6,2017,4,3,40,27,11,3,4,1,6,1,3,8,2.9,1.2,2.5,3.7,2.5,
7,2017,3,2,39,33,9,3,3,0,7,1,2.8,5,2.3,1.2,2.6,3.4,2.2,
8,2017,5,3,39,30,11,2,3,0,5,2,2.7,6,2.5,1.3,2.5,3.4,2.2,
9,2017,3,2,41,25,10,4,4,2,7,2,3.1,9,2.9,1.3,2.5,3.8,2.5,
10,2017,3,3,42,29,11,3,3,0,5,1,2.8,6,2.4,1.3,2.5,3.4,2.1,
11,2017,5,2,41,31,8,1,4,1,6,1,2.7,7,2.7,1.3,2.4,3.3,2,
12,2017,2,3,42,26,10,3,3,1,8,2,2.9,7,2.6,1.4,2.4,3.5,2.1,
1,2018,4,2,39,31,10,3,1,1,7,2,2.6,6,2.4,1.3,2.5,3.4,2,
2,2018,4,3,39,30,11,2,3,1,6,1,2.7,7,2.6,1.2,2.5,3.5,2.2,
3,2018,3,2,41,28,11,3,3,1,6,2,2.9,6,2.5,1.3,2.5,3.6,2.3,
4,2018,3,2,42,28,11,2,4,0,7,1,2.9,6,2.5,1.3,2.5,3.6,2.3,
5,2018,4,1,41,31,10,3,3,1,5,1,2.8,6,2.5,1.4,2.5,3.5,2.1,
6,2018,3,2,37,28,11,5,3,1,9,1,2.9,8,2.9,1.3,2.6,3.9,2.6,
7,2018,4,4,40,25,10,3,3,1,8,2,2.8,7,2.6,1.3,2.4,3.5,2.2,
8,2018,4,2,36,27,11,3,3,1,10,3,3,8,2.8,1.4,2.6,4,2.5,
9,2018,3,2,41,31,9,2,4,1,5,2,2.8,7,2.7,1.3,2.5,3.5,2.1,
10,2018,3,2,42,26,8,3,4,1,8,3,2.8,6,2.5,1.3,2.4,3.4,2,
11,2018,3,2,38,32,8,2,4,1,8,2,2.9,7,2.7,1.3,2.6,3.5,2.1,
12,2018,4,2,40,29,9,2,4,1,8,1,2.8,7,2.7,1.3,2.5,3.4,2.1,
1,2019,3,2,39,31,10,2,3,0,8,2,2.8,6,2.5,1.4,2.6,3.5,2,
2,2019,4,2,44,25,8,2,4,1,7,3,2.7,7,2.7,1.3,2.3,3.4,2.1,
3,2019,3,2,41,30,11,3,1,1,6,2,2.7,5,2.2,1.4,2.5,3.4,2.1,
4,2019,2,3,45,28,8,2,3,1,6,2,2.7,5,2.3,1.3,2.3,3.4,2,
5,2019,3,1,38,31,10,3,4,1,7,2,3,7,2.6,1.4,2.6,3.6,2.2,
6,2019,4,3,43,29,7,2,4,0,6,2,2.6,7,2.7,1.2,2.3,3.4,2.2,
7,2019,5,2,38,29,9,5,3,1,6,2,2.9,8,2.8,1.3,2.5,3.6,2.3,
8,2019,5,3,36,30,10,3,2,1,8,2,2.7,7,2.7,1.3,2.6,3.5,2.2,
9,2019,6,3,41,26,10,3,3,1,5,2,2.7,8,2.8,1.3,2.4,3.5,2.2,
10,2019,5,4,43,27,9,2,3,1,5,1,2.6,7,2.6,1.1,2.3,3.3,2.2,
11,2019,3,1,42,29,9,2,4,1,6,3,2.8,8,2.7,1.3,2.5,3.6,2.2,
12,2019,5,3,44,25,9,3,4,0,5,2,2.6,6,2.5,1.2,2.2,3.3,2.2,
1,2020,2,3,41,28,10,4,3,0,7,2,2.8,7,2.6,1.4,2.5,3.4,2.1,
2,2020,3,3,43,26,9,2,3,1,9,1,2.7,7,2.6,1.3,2.3,3.4,2.1,
3,2020,3,3,43,28,9,2,3,1,7,1,2.6,6,2.4,1.2,2.3,3.3,2.1,
4,2020,5,5,37,26,12,3,3,0,8,1,2.7,7,2.6,1.2,2.5,3.8,2.5,
5,2020,6,4,31,30,10,3,4,1,10,1,2.9,9,3.1,1.4,2.7,3.9,2.5,
6,2020,5,5,35,28,11,3,2,0,9,2,2.6,6,2.5,1.3,2.5,3.5,2.1,
7,2020,5,3,34,30,10,3,3,0,11,1,2.8,7,2.7,1.4,2.6,3.7,2.3,
8,2020,5,4,32,30,13,4,4,0,7,1,2.9,7,2.7,1.4,2.7,4.1,2.7,
9,2020,3,4,35,29,13,3,4,0,8,1,3,7,2.6,1.4,2.7,4,2.6,
10,2020,5,4,39,30,8,2,2,1,7,2,2.6,8,2.8,1.2,2.4,3.3,2.1,
11,2020,4,3,39,27,11,2,4,0,8,2,2.9,6,2.5,1.4,2.5,3.5,2.1,
12,2020,4,2,37,28,9,3,4,1,11,1,2.9,7,2.7,1.4,2.5,3.6,2.2,
1,2021,6,2,33,27,11,5,3,1,11,1,3,9,2.9,1.5,2.7,4,2.5,
2,2021,4,2,34,27,12,4,5,1,10,1,3.2,8,2.9,1.4,2.7,4.5,3.1,
3,2021,2,3,32,26,11,4,7,1,12,2,3.4,9,3.1,1.5,2.8,4.6,3.1,
4,2021,2,2,36,25,15,4,2,1,12,1,3,6,2.5,1.4,2.7,4.5,3.1,
5,2021,5,2,27,27,13,5,6,1,12,2,3.5,10,3.2,1.7,3,4.8,3.1,
6,2021,8,2,29,26,11,4,7,2,8,3,3.4,16,4,1.5,2.8,4.7,3.2,
7,2021,6,5,28,24,11,7,5,3,8,3,3.5,15,3.9,1.4,2.8,4.8,3.4,
